,pos,transitstop_count
18_8,18_8,8.0
18_7,18_7,4.0
18_4,18_4,8.0
18_5,18_5,2.0
18_0,18_0,8.0
18_1,18_1,22.0
6_30,6_30,20.0
6_31,6_31,12.0
17_31,17_31,32.0
17_30,17_30,16.0
1_26,1_26,2.0
12_18,12_18,10.0
1_25,1_25,8.0
12_12,12_12,54.0
12_13,12_13,32.0
12_10,12_10,98.0
12_11,12_11,64.0
12_16,12_16,44.0
12_17,12_17,34.0
12_14,12_14,6.0
12_15,12_15,30.0
16_9,16_9,24.0
4_9,4_9,2.0
13_7,13_7,38.0
13_6,13_6,44.0
10_25,10_25,80.0
10_24,10_24,32.0
10_27,10_27,50.0
10_26,10_26,74.0
10_21,10_21,58.0
10_20,10_20,86.0
10_23,10_23,48.0
10_22,10_22,82.0
10_29,10_29,32.0
10_28,10_28,34.0
11_5,11_5,42.0
13_31,13_31,26.0
13_30,13_30,26.0
7_19,7_19,36.0
7_18,7_18,8.0
11_4,11_4,16.0
7_11,7_11,22.0
7_10,7_10,26.0
7_13,7_13,60.0
7_12,7_12,50.0
7_15,7_15,86.0
7_14,7_14,94.0
19_13,19_13,34.0
19_12,19_12,8.0
19_11,19_11,8.0
19_17,19_17,24.0
19_16,19_16,34.0
19_15,19_15,36.0
19_14,19_14,18.0
19_19,19_19,52.0
19_18,19_18,132.0
15_28,15_28,14.0
15_29,15_29,10.0
15_22,15_22,46.0
15_23,15_23,30.0
15_20,15_20,52.0
15_21,15_21,48.0
15_26,15_26,24.0
15_24,15_24,18.0
15_25,15_25,6.0
14_30,14_30,6.0
14_31,14_31,52.0
12_2,12_2,54.0
5_22,5_22,16.0
5_23,5_23,26.0
5_20,5_20,56.0
5_21,5_21,46.0
5_26,5_26,50.0
5_27,5_27,54.0
5_24,5_24,20.0
5_25,5_25,26.0
5_28,5_28,34.0
5_29,5_29,20.0
4_25,4_25,92.0
4_24,4_24,48.0
4_27,4_27,22.0
4_26,4_26,48.0
4_21,4_21,20.0
4_20,4_20,66.0
4_23,4_23,54.0
4_22,4_22,48.0
4_29,4_29,12.0
4_28,4_28,26.0
16_23,16_23,2.0
16_22,16_22,34.0
16_21,16_21,8.0
16_27,16_27,12.0
16_26,16_26,6.0
16_29,16_29,18.0
16_28,16_28,8.0
9_13,9_13,44.0
9_12,9_12,44.0
9_11,9_11,98.0
9_10,9_10,88.0
9_17,9_17,158.0
9_16,9_16,180.0
8_30,8_30,46.0
8_31,8_31,34.0
9_19,9_19,54.0
9_18,9_18,70.0
3_31,3_31,60.0
3_30,3_30,18.0
18_16,18_16,28.0
11_28,11_28,50.0
11_29,11_29,28.0
11_26,11_26,24.0
11_27,11_27,42.0
11_24,11_24,28.0
11_25,11_25,58.0
11_22,11_22,36.0
11_23,11_23,32.0
11_20,11_20,12.0
11_21,11_21,4.0
2_18,2_18,48.0
2_19,2_19,50.0
2_17,2_17,4.0
7_20,7_20,44.0
7_21,7_21,20.0
7_22,7_22,36.0
7_23,7_23,64.0
7_24,7_24,30.0
7_25,7_25,54.0
7_26,7_26,12.0
7_27,7_27,18.0
7_28,7_28,30.0
7_29,7_29,56.0
6_29,6_29,12.0
6_28,6_28,20.0
6_23,6_23,18.0
6_22,6_22,8.0
6_21,6_21,12.0
6_20,6_20,16.0
6_27,6_27,4.0
6_26,6_26,4.0
6_25,6_25,8.0
6_24,6_24,16.0
