,house_price,pos
16_8,711092.5089,16_8
13_8,690951.222451,13_8
12_8,664922.179128,12_8
10_8,723390.277407,10_8
15_8,721234.16959,15_8
9_8,736862.047617,9_8
8_8,664153.866364,8_8
7_8,642461.242381,7_8
6_7,750753.079086,6_7
11_8,732167.90997,11_8
7_7,666698.172252,7_7
14_8,670594.1176,14_8
16_7,680385.2941,16_7
12_7,614885.2941,12_7
11_2,490857.381817,11_2
9_2,642714.7059,9_2
10_2,642714.7059,10_2
13_3,617270.028763,13_3
14_3,480994.274284,14_3
12_2,478220.702182,12_2
13_2,478669.1176,13_2
15_3,485103.656432,15_3
16_3,554014.7059,16_3
15_4,509832.237785,15_4
13_4,495120.535098,13_4
14_4,474528.809212,14_4
12_4,478834.862203,12_4
12_3,478669.1176,12_3
11_4,465893.888065,11_4
11_3,465813.949683,11_3
10_4,563799.836949,10_4
10_3,631225.720588,10_3
16_4,554014.7059,16_4
9_4,464771.23894,9_4
9_3,642714.7059,9_3
8_4,139206.498169,8_4
13_5,436969.179905,13_5
14_5,540595.940455,14_5
15_5,557596.104435,15_5
12_5,380157.36733,12_5
8_5,87361.9260109,8_5
7_5,690867.315645,7_5
16_5,560494.283549,16_5
9_5,173655.327395,9_5
10_5,472765.376775,10_5
11_5,482169.514104,11_5
15_6,660791.825718,15_6
11_6,519898.186058,11_6
16_6,671330.256586,16_6
12_6,422047.933004,12_6
6_6,788722.29269,6_6
7_6,550543.228948,7_6
8_6,357194.179386,8_6
9_6,570848.696233,9_6
14_6,578933.831099,14_6
10_6,568188.091444,10_6
13_6,523919.587071,13_6
6_5,844064.7059,6_5
7_14,402371.061897,7_14
11_14,640572.769115,11_14
12_14,244244.160893,12_14
14_14,1256261.765,14_14
10_14,464036.847997,10_14
13_14,970856.160037,13_14
8_14,421271.392751,8_14
9_14,116257.262336,9_14
6_14,0.0,6_14
