,pos,bikelane_len,bikelane_count
2_19,2_19,2625.32891032,26.0
14_6,14_6,2596.21017761,23.0
10_10,10_10,3323.01507046,43.0
2_17,2_17,406.004637976,2.0
10_11,10_11,1769.66810663,10.0
11_13,11_13,4813.25750322,36.0
16_7,16_7,1017.20198742,4.0
14_4,14_4,2152.26408533,26.0
9_30,9_30,1344.65836087,1.0
10_13,10_13,3495.07572951,29.0
11_11,11_11,3840.14460592,35.0
7_20,7_20,2560.71950197,28.0
7_21,7_21,772.899572757,7.0
7_22,7_22,2028.09920615,20.0
7_23,7_23,1285.87284358,12.0
7_24,7_24,1496.93164605,11.0
7_25,7_25,3739.68581314,34.0
7_26,7_26,2206.77812987,17.0
7_27,7_27,1897.18211622,9.0
7_28,7_28,1295.24358947,9.0
7_29,7_29,194.882702102,2.0
11_25,11_25,1145.88425094,11.0
11_16,11_16,2328.07264355,23.0
9_7,9_7,3473.46420149,39.0
6_29,6_29,936.480173798,4.0
1_25,1_25,1093.45247086,10.0
12_14,12_14,4392.87501762,19.0
9_6,9_6,3123.97730931,31.0
6_23,6_23,2407.49431456,10.0
6_22,6_22,1010.08795479,1.0
6_21,6_21,1199.80942882,6.0
6_20,6_20,2157.22685041,16.0
11_17,11_17,2717.22681958,32.0
9_5,9_5,2301.96711859,25.0
11_15,11_15,1434.43795721,14.0
6_24,6_24,1192.92172165,7.0
