,pos,transitstop_count
7_24,7_24,6.0
7_25,7_25,4.0
7_26,7_26,3.0
7_27,7_27,1.0
7_28,7_28,3.0
7_29,7_29,1.0
6_20,6_20,3.0
9_7,9_7,8.0
18_16,18_16,1.0
3_27,3_27,3.0
12_14,12_14,2.0
10_11,10_11,1.0
11_14,11_14,2.0
6_23,6_23,5.0
9_30,9_30,5.0
11_11,11_11,26.0
12_15,12_15,5.0
18_18,18_18,24.0
18_19,18_19,9.0
11_15,11_15,6.0
6_24,6_24,2.0
