,asian_pop,black_pop,hispanic_p,no_car_hh,poverty_po,white_pop,ave_hh_inc,edu_uni,edu_high,hh_incm_hi,hh,pop,age65,poverty_perc,pos,geometry,row,col,grid_area
0,44.8665,28.9021,7.0623,4.3053,9.63731690701,16.4392,81834.0,18.2676,17.2384,27.0059,22.487072783,74.1501323667,14.5994,12.9970326409,9_29,"POLYGON ((-1647327.704565505 510097.5045573009, -1646327.704565505 510097.5045573009, -1646327.704565505 509097.5045573009, -1647327.704565505 509097.5045573009, -1647327.704565505 510097.5045573009))",9,29,1000000.0
1,43.2459761186,29.2528112798,6.61724438679,4.22411202625,302.51224851,16.832484539,87815.3303262,21.3756728701,15.2523983955,34.5667243135,706.367342938,2282.61615376,15.0584231531,13.2528742519,10_29,"POLYGON ((-1646327.704565505 510097.5045573009, -1645327.704565505 510097.5045573009, -1645327.704565505 509097.5045573009, -1646327.704565505 509097.5045573009, -1646327.704565505 510097.5045573009))",10,29,1000000.0
2,30.077754935,28.4041340817,5.91795325122,4.02876019946,250.609553109,27.7537353685,96838.9216763,33.375472546,11.4478096954,44.1976085876,739.591859175,1996.62085268,15.4819582889,12.5516846512,11_29,"POLYGON ((-1645327.704565505 510097.5045573009, -1644327.704565505 510097.5045573009, -1644327.704565505 509097.5045573009, -1645327.704565505 509097.5045573009, -1645327.704565505 510097.5045573009))",11,29,1000000.0
3,24.74172191,27.6820050889,4.10736059867,3.59196082653,95.3457726693,38.2810468988,147126.801964,45.0396123553,13.6203318399,62.6767572879,505.943574879,1288.94875355,18.3079146533,7.39717327061,12_29,"POLYGON ((-1644327.704565505 510097.5045573009, -1643327.704565505 510097.5045573009, -1643327.704565505 509097.5045573009, -1644327.704565505 509097.5045573009, -1644327.704565505 510097.5045573009))",12,29,1000000.0
4,26.3791229865,26.9863394742,6.73066428909,4.19233030802,6.77511167281,31.4148380209,80792.5743723,35.6096839868,11.980517998,35.7220043547,19.6564598008,50.3314517238,13.0395809845,13.460989979,12_30,"POLYGON ((-1644327.704565505 509097.5045573009, -1643327.704565505 509097.5045573009, -1643327.704565505 508097.5045573009, -1644327.704565505 508097.5045573009, -1644327.704565505 509097.5045573009))",12,30,1000000.0
5,26.3796,26.9861,6.7314,4.1925,11.8920860336,31.413,80774.0,35.6073,11.98,35.7143,34.4977630885,88.3335579703,13.0382,13.4627046695,11_30,"POLYGON ((-1645327.704565505 509097.5045573009, -1644327.704565505 509097.5045573009, -1644327.704565505 508097.5045573009, -1645327.704565505 508097.5045573009, -1645327.704565505 509097.5045573009))",11,30,1000000.0
6,44.8665,28.9021,7.0623,4.3053,23.3583115049,16.4392,81834.0,18.2676,17.2384,27.0059,54.5027268448,179.720341944,14.5994,12.9970326409,10_30,"POLYGON ((-1646327.704565505 509097.5045573009, -1645327.704565505 509097.5045573009, -1645327.704565505 508097.5045573009, -1646327.704565505 508097.5045573009, -1646327.704565505 509097.5045573009))",10,30,1000000.0
7,27.2223582219,28.2766644968,5.68554943271,10.1071237061,337.867461335,32.2438149337,93792.9520499,36.4291135536,10.9281003029,34.6627602301,654.406444392,1678.84969508,16.7350517584,20.1249380648,11_28,"POLYGON ((-1645327.704565505 511097.5045573009, -1644327.704565505 511097.5045573009, -1644327.704565505 510097.5045573009, -1645327.704565505 510097.5045573009, -1645327.704565505 511097.5045573009))",11,28,1000000.0
8,43.297132967,28.3998273066,6.55921971176,5.24033972499,272.389064373,18.0336216891,92769.1911601,29.5578955263,16.9168046375,40.2562040324,526.646108754,1701.51862672,13.0317252964,16.0085855128,10_28,"POLYGON ((-1646327.704565505 511097.5045573009, -1645327.704565505 511097.5045573009, -1645327.704565505 510097.5045573009, -1646327.704565505 510097.5045573009, -1646327.704565505 511097.5045573009))",10,28,1000000.0
9,26.0320535253,24.710103675,5.9854733281,5.07822061136,106.413700677,38.6580924371,109383.574304,51.0160348672,8.90462839233,36.5309633897,304.531054225,767.525497194,19.4134947458,13.8645166924,12_28,"POLYGON ((-1644327.704565505 511097.5045573009, -1643327.704565505 511097.5045573009, -1643327.704565505 510097.5045573009, -1644327.704565505 510097.5045573009, -1644327.704565505 511097.5045573009))",12,28,1000000.0
10,35.9147845272,38.6064898206,9.80199468351,12.2337013282,735.689143436,13.4554944192,68965.1661276,19.4618095558,30.6923412453,21.6373671544,921.20514549,2770.92896717,12.238531154,26.5502707631,10_27,"POLYGON ((-1646327.704565505 512097.5045573009, -1645327.704565505 512097.5045573009, -1645327.704565505 511097.5045573009, -1646327.704565505 511097.5045573009, -1646327.704565505 512097.5045573009))",10,27,1000000.0
11,52.8620805908,23.9491947652,7.99254039154,4.16670747225,56.6117654311,13.995587504,79358.3240518,21.368336456,26.5926955031,32.090130797,86.2422702905,301.049444574,15.5870530029,18.80480647,9_28,"POLYGON ((-1647327.704565505 511097.5045573009, -1646327.704565505 511097.5045573009, -1646327.704565505 510097.5045573009, -1647327.704565505 510097.5045573009, -1647327.704565505 511097.5045573009))",9,28,1000000.0
12,12.5712169691,24.3453429034,3.47663628819,16.2215929721,80.2257953405,52.9995493701,193358.884181,40.6885965197,4.87154178141,44.5280238153,143.782028336,294.194787818,19.593934432,27.269618179,12_27,"POLYGON ((-1644327.704565505 512097.5045573009, -1643327.704565505 512097.5045573009, -1643327.704565505 511097.5045573009, -1644327.704565505 511097.5045573009, -1644327.704565505 512097.5045573009))",12,27,1000000.0
13,27.0972,24.5007,6.1917,4.0956,33.7920139072,38.016,101841.0,52.9877,8.8752,34.9829,101.031225253,258.957167799,19.8402,13.0492676431,13_28,"POLYGON ((-1643327.704565505 511097.5045573009, -1642327.704565505 511097.5045573009, -1642327.704565505 510097.5045573009, -1643327.704565505 510097.5045573009, -1643327.704565505 511097.5045573009))",13,28,1000000.0
14,27.0972,24.5007,6.1917,4.0956,0.463930539561,38.016,101841.0,52.9877,8.8752,34.9829,1.38705763358,3.55522280826,19.8402,13.0492676431,13_27,"POLYGON ((-1643327.704565505 512097.5045573009, -1642327.704565505 512097.5045573009, -1642327.704565505 511097.5045573009, -1643327.704565505 511097.5045573009, -1643327.704565505 512097.5045573009))",13,27,1000000.0
15,18.205,12.0306,14.9586,12.2053,39.7479111968,52.3234,83015.0,22.9765,3.6554,32.0388,66.4924454127,144.881597425,20.3692,27.4347549332,6_28,"POLYGON ((-1650327.704565505 511097.5045573009, -1649327.704565505 511097.5045573009, -1649327.704565505 510097.5045573009, -1650327.704565505 510097.5045573009, -1650327.704565505 511097.5045573009))",6,28,1000000.0
16,18.3252818798,12.0556398309,15.0251774429,12.2086322965,270.84261213,52.185668655,82967.0452346,22.7854916817,3.98530652317,31.9906190862,452.569658348,989.247927449,20.2738193143,27.3786383186,6_27,"POLYGON ((-1650327.704565505 512097.5045573009, -1649327.704565505 512097.5045573009, -1649327.704565505 511097.5045573009, -1650327.704565505 511097.5045573009, -1650327.704565505 512097.5045573009))",6,27,1000000.0
17,25.0806754229,33.9879035536,8.50862298228,16.6596690372,419.622610479,28.3707873253,104407.548749,30.5046259602,20.086201676,29.0607133839,565.447386836,1465.66903568,14.3214868751,28.6301068157,11_27,"POLYGON ((-1645327.704565505 512097.5045573009, -1644327.704565505 512097.5045573009, -1644327.704565505 511097.5045573009, -1645327.704565505 511097.5045573009, -1645327.704565505 512097.5045573009))",11,27,1000000.0
18,54.9457,19.8971,9.1481,4.4,0.00663254511543,14.8656,72239.0,20.8333,27.3693,23.4,0.011759831765,0.0411358915138,16.0091,16.1234991424,8_28,"POLYGON ((-1648327.704565505 511097.5045573009, -1647327.704565505 511097.5045573009, -1647327.704565505 510097.5045573009, -1648327.704565505 510097.5045573009, -1648327.704565505 511097.5045573009))",8,28,1000000.0
19,54.9457,19.8971,9.1481,4.4,9.3575058624,14.8656,72239.0,20.8333,27.3693,23.4,16.5913224511,58.0364459338,16.0091,16.1234991424,8_27,"POLYGON ((-1648327.704565505 512097.5045573009, -1647327.704565505 512097.5045573009, -1647327.704565505 511097.5045573009, -1648327.704565505 511097.5045573009, -1648327.704565505 512097.5045573009))",8,27,1000000.0
20,54.3175328813,21.4924365284,8.48843249336,4.28649507035,211.179207906,14.2456009053,80545.8918362,21.1332371581,27.2989861597,27.7187957715,355.250062144,1230.03996972,15.9548840584,17.1684833911,9_27,"POLYGON ((-1647327.704565505 512097.5045573009, -1646327.704565505 512097.5045573009, -1646327.704565505 511097.5045573009, -1647327.704565505 511097.5045573009, -1647327.704565505 512097.5045573009))",9,27,1000000.0
21,27.0972,24.5007,6.1917,4.0956,19.6165336141,38.016,101841.0,52.9877,8.8752,34.9829,58.649432132,150.326701471,19.8402,13.0492676431,13_29,"POLYGON ((-1643327.704565505 510097.5045573009, -1642327.704565505 510097.5045573009, -1642327.704565505 509097.5045573009, -1643327.704565505 509097.5045573009, -1643327.704565505 510097.5045573009))",13,29,1000000.0
22,5.22113147001,1.01355351821,4.92263317762,2.32431367146,41.7982431132,86.3186396164,202656.530206,50.4144620864,2.66483474812,65.2988602649,426.686684359,883.353936018,22.5397591159,4.73176621611,1_24,"POLYGON ((-1655327.704565505 515097.5045573009, -1654327.704565505 515097.5045573009, -1654327.704565505 514097.5045573009, -1655327.704565505 514097.5045573009, -1655327.704565505 515097.5045573009))",1,24,1000000.0
23,6.93976477377,1.37735237582,5.44323304733,1.90161849822,21.5301857995,83.8059432289,160599.18681,47.4465775615,2.14357220045,60.2882373645,371.200470419,846.879840452,19.3438266866,2.54229523139,1_25,"POLYGON ((-1655327.704565505 514097.5045573009, -1654327.704565505 514097.5045573009, -1654327.704565505 513097.5045573009, -1655327.704565505 513097.5045573009, -1655327.704565505 514097.5045573009))",1,25,1000000.0
